"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000125843",-0.294926596115966,3.92176736734441,26.121570306191,5.55742390294573e-07,"NO"
"ENSG00000125844",-0.79843854399806,6.83032511006344,71.5981518273019,9.93551641237476e-16,"NO"
"ENSG00000125845",2.70629574163454,5.98256573591986,177.519560831656,1.88366581470948e-32,"UP"
"ENSG00000125846",0.366707204776282,4.33147760513058,24.8351304678941,1.0299827904862e-06,"NO"
"ENSG00000125848",-0.191110550178822,3.60086576881387,0.933871073822132,0.334597440662516,"NO"
"ENSG00000125850",-0.797124493742312,-2.95594625679177,7.42399460046379,0.00679381929392645,"NO"
"ENSG00000125851",0.204630623305021,5.35646144978118,0.39606087218554,0.529584970696,"NO"
"ENSG00000125863",-0.00451472243784289,5.34710532439243,0.00545154411074451,0.941188665497226,"NO"
"ENSG00000125864",-0.952266842141252,0.197950569440829,35.5610622521566,6.60303823426972e-09,"NO"
"ENSG00000125868",-0.179007941427355,8.09148168800495,9.08972096446587,0.00277848452940211,"NO"
"ENSG00000125869",-1.04195511592502,4.6426315509767,24.1630033359484,1.42409059783257e-06,"DOWN"
"ENSG00000125870",-0.150099750138168,5.64553054603594,6.85507078703466,0.00926410519042936,"NO"
"ENSG00000125871",-0.469124499412605,4.06350810126045,47.6314663023909,2.81572068904336e-11,"NO"
"ENSG00000125872",1.24540908626055,-1.37099696752315,26.9128362246032,3.8086555106733e-07,"UP"
"ENSG00000125875",-0.174443456055935,6.29784786671995,12.6272948755281,0.000438070389739263,"NO"
"ENSG00000125877",-0.11148824510146,5.326976672307,1.99016750397317,0.159305627446478,"NO"
"ENSG00000125878",-0.36590998330552,-1.58685918037306,2.79418839905261,0.0955951502946926,"NO"
"ENSG00000125879",-4.10560018079492,-1.93788301848232,70.7037347490074,1.44046211313906e-15,"DOWN"
"ENSG00000125885",-0.568832325592869,2.23574083271117,25.3923755293258,7.88099200884226e-07,"NO"
"ENSG00000125895",0.01862894396802,-0.16547544094315,0.0124451509129316,0.911244728886827,"NO"
"ENSG00000125898",0.928953294605203,3.19063059248261,34.8693361480665,9.09057924019492e-09,"NO"
"ENSG00000125901",-0.0984481805589195,5.64551948448704,1.62979157236533,0.202667910199119,"NO"
"ENSG00000125910",-0.59424107435253,-0.304911805411823,12.6064286408958,0.000442796867971403,"NO"
"ENSG00000125912",-0.123233127848743,5.90211368269961,2.66971870192634,0.103268521837334,"NO"
"ENSG00000125931",0.0651760131101598,-1.32649048336249,0.0529393536016723,0.81817397819695,"NO"
"ENSG00000125944",0.181086525572551,7.43697802340691,11.4385789867399,0.00080963650537627,"NO"
"ENSG00000125945",-0.317473626986595,5.43047125844573,8.05129314001947,0.00484076000452518,"NO"
"ENSG00000125952",0.270884755966635,5.87215587889533,21.2279481094405,5.91963968676665e-06,"NO"
"ENSG00000125962",0.0340575296686461,3.01480640216941,0.230259830118455,0.631662723947478,"NO"
"ENSG00000125965",-1.72682609291967,-1.08048687692803,52.1664788962618,3.82474195728105e-12,"DOWN"
"ENSG00000125966",0.353172458301967,4.44048535253155,3.27018537417684,0.07149938548352,"NO"
"ENSG00000125967",-0.0383844634736745,4.74440454632383,0.172473996317378,0.678203824229881,"NO"
"ENSG00000125968",0.971324510696333,6.17043096689828,26.7236170752337,4.16977014488168e-07,"NO"
"ENSG00000125970",-0.123166725354162,7.01266410288834,4.84236933675727,0.028490869460499,"NO"
"ENSG00000125971",-0.296043936390865,2.90064258166332,7.59260285446744,0.00620037126101364,"NO"
"ENSG00000125977",-0.0615230695861636,6.21983328891264,1.22637971996091,0.268953291677552,"NO"
"ENSG00000125991",-0.200989775270584,7.4756755985236,10.132197531023,0.00160180852690949,"NO"
