"","Factor 1","Factor 2","Factor 3","Factor 4"
"LRP1B",4.71651361522163e-07,1.79450375981105e-06,6.95516916948691e-07,-5.61346382710326e-07
"DNAH7",-2.28973676712485e-05,-1.6018337191781e-05,-7.7726235758746e-06,-1.334829175903e-05
"CACNA1D",-1.14081476567662e-05,-1.55466404976323e-05,-1.14661543193506e-05,7.34350032871589e-06
"GABRA1",-1.78713289642474e-05,-5.21062429470476e-06,-6.44563669993659e-07,5.34152513864683e-06
"EPPK1",-1.46219927046332e-05,-4.82244140584953e-05,-1.37849565362558e-05,1.88484609680017e-05
"DNAH11",-1.82158237294061e-05,-3.0190711186151e-05,-7.82651932240697e-06,-5.1428046390356e-06
"KIF19",-5.10205245518591e-06,-6.54297764413059e-07,3.62538094123011e-06,4.9180102905666e-06
"OR5AR1",3.94452220886521e-10,-6.43351982798634e-10,7.74307118422968e-10,-1.62006852377772e-10
"TMEM132B",8.47138252879631e-08,-1.58414695761167e-05,2.37056451624085e-06,-1.70100690866093e-06
"FANCM",7.01417775417212e-06,-5.81321000936441e-06,1.1757720130845e-06,8.75029309099773e-06
"APOB",7.10320728103397e-06,-3.49918809661176e-05,1.6456706362078e-06,4.23726442022598e-06
"NRXN1",-6.5453182287456e-06,1.14119047793793e-05,-3.60245985575602e-06,8.81501182448119e-06
"COL7A1",1.19625212846586e-06,-5.61433080292773e-06,-9.11325969354948e-06,-2.78286370303249e-06
"ANK2",-1.95165921468288e-06,-8.77227557793958e-06,-4.75541537525714e-06,7.75865657942632e-07
"SYNE1",1.24151974887354e-05,1.56573132699123e-05,-9.18614296097076e-06,2.11380702239694e-05
"Unknown",-0.000778575835283846,-0.000137609298690222,-0.000106083149148617,-1.91706385521684e-05
"PTPRD",-1.05171675386373e-05,1.35257710098813e-06,-2.2639815142611e-06,1.51684525917517e-06
"CFH",-3.24034431287146e-06,2.35477946262108e-05,5.70953989154077e-06,-1.26413124235114e-05
"ZNF492",-2.18257332562644e-06,-5.62675404580659e-06,-4.35876654591993e-06,-6.96916504239198e-06
"CEACAM5",-2.86020463136083e-06,-6.12978783465223e-06,6.13669135418604e-06,9.11500046640867e-06
"LILRB2",-6.37178345641587e-06,-1.93067517102463e-05,3.42982752954413e-06,-9.47920034377603e-06
"HEATR5B",-1.94996187019569e-06,8.57547274790704e-06,-3.57236276613548e-05,1.33187609208107e-06
"LZTR1",-1.24482858154806e-05,-1.88381018233486e-05,-2.30190144066e-05,-8.36080289445817e-06
"DEPDC5",-1.98872785404092e-05,-2.81527318293229e-05,-1.04054379335139e-05,-2.5379547423654e-06
"CUBN",2.41414977608656e-06,2.3079343009158e-05,7.37719858534547e-07,-6.73341082801926e-06
"PTPRB",6.34305388302892e-06,1.4938890672056e-05,-1.39358298838488e-05,-7.98045402916614e-06
"ANKRD11",1.3568163922173e-05,4.35566107626073e-06,-7.25184463590267e-08,-1.62187625392107e-05
"TCHH",-1.41781310958322e-05,-3.47121895174496e-05,-2.60877259279368e-05,-2.12259819818428e-05
"RYR2",-1.28454848891124e-05,-8.3290200564079e-05,2.90941443381598e-05,-1.10293922261917e-05
